"my_id","follower_id","status"
"1278","327","1"
"1269","1036","1"
"554","1007","1"
"711","1007","1"
"1269","288","1"
"781","1249","1"
"472","1007","1"
"1201","940","1"
"148","1229","1"
"1007","554","1"
"1269","1148","1"
"1007","711","1"
"781","973","1"
"1007","472","1"
"619","702","1"
"1222","1201","1"
"1272","1238","1"
"1269","708","1"
"413","286","1"
"1269","1126","1"
"1028","833","1"
"472","711","1"
"509","753","1"
"148","101","1"
"509","142","1"
"1255","973","1"
"137","1206","1"
"1281","158","1"
"137","899","1"
"101","148","1"
"1230","1199","1"
"165","1179","1"
"1187","1206","1"
"1255","1126","1"
"1235","987","1"
"711","183","1"
"1255","899","1"
"1124","101","1"
"101","720","1"
"1255","1206","1"
"82","167","1"
"1235","1041","1"
"863","7","1"
"1235","167","1"
"1235","167","1"
"487","7","1"
"1255","137","1"
"462","7","1"
"295","7","1"
"747","7","1"
"1088","1179","1"
"1235","393","1"
"50","7","1"
"153","7","1"
"165","7","1"
"1124","148","1"
"223","7","1"
"1143","7","1"
"909","7","1"
"101","7","1"
"453","7","1"
"866","7","1"
"1224","7","1"
"327","7","1"
"148","7","1"
"720","148","1"
